alpha_0,RMSE,MAE,North_Mean,South_Mean,Signed_Gap,Abs_Gap
0.0,8.659523447215733,6.883667638085106,62.945316,47.508373,15.436943,15.436943
0.025,8.71928956261225,6.907580505977978,63.32879,48.21098,15.117809,15.117809
0.05,8.78167260350516,6.937826513723893,63.47803,48.93269,14.5453415,14.5453415
0.07500000000000001,8.831342458276387,6.977924940022556,63.864365,49.667076,14.1972885,14.1972885
0.1,8.926615362608368,7.062098728353327,64.07798,50.380417,13.697563,13.697563
0.125,9.070802362218581,7.152124799728393,64.337135,51.08147,13.255665,13.255665
0.15000000000000002,9.293742745820277,7.359907167781482,64.54723,51.820812,12.726421,12.726421
0.17500000000000002,9.559708602880562,7.58108057420904,64.832924,52.61343,12.219494,12.219494
0.2,9.817595802081897,7.769887699647383,65.078865,53.38947,11.689396,11.689396
0.225,10.06714681183782,8.009225140831688,65.35925,54.1107,11.248554,11.248554
0.25,10.31421543161862,8.197974894783714,65.7101,54.766388,10.94371,10.94371
0.275,10.574503669838021,8.45896258683638,65.88484,55.509598,10.375244,10.375244
0.30000000000000004,11.020257213174526,8.81221386684071,66.16521,56.358944,9.806263,9.806263
0.325,11.419282363013666,9.169492267608643,66.392784,57.055473,9.337311,9.337311
0.35000000000000003,11.677237022937714,9.447893129695546,66.6706,57.726673,8.943928,8.943928
0.375,12.139573169733781,9.84577197525718,67.02287,58.412174,8.610699,8.610699
0.4,12.532124815807784,10.232806878349997,67.256386,59.15849,8.097897,8.097897
0.42500000000000004,13.039219138957113,10.68223403601213,67.55436,59.989136,7.5652237,7.5652237
0.45,13.44750831668483,11.026787711576983,67.7924,60.666855,7.1255417,7.1255417
0.47500000000000003,14.043380107594354,11.54054531357505,68.04144,61.49541,6.546032,6.546032
0.5,14.411666913236393,11.879805925195866,68.39839,62.08142,6.316971,6.316971
