Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,Market_Type,Actual_ESG,Predicted_ESG,Error,Absolute_Error
Technology,Latin America,2023,108029.1,17.3,416982.0,15.5,79.5,77.9,44.9,3476430.3,2085858.2,6952860.6,Emerging,67.4,67.76820990943638,-0.36820990943637355,0.36820990943637355
Transportation,Asia,2021,697.3,8.6,594.8,23.0,11.6,44.3,70.3,468164.1,78027.4,1560547.1,Emerging,42.0,41.90070969708942,0.09929030291058183,0.09929030291058183
Utilities,Oceania,2017,602.9,11.5,610.2,-3.7,22.0,95.3,35.9,504584.5,315365.3,5045844.6,Developed,51.0,50.777558955958796,0.22244104404120435,0.22244104404120435
Manufacturing,Asia,2017,1135.4,6.3,817.0,-5.6,22.6,52.6,68.9,354740.3,472987.0,5912337.9,Emerging,48.0,47.79880055836618,0.2011994416338183,0.2011994416338183
Retail,Asia,2024,902.9,1.5,274.9,11.0,61.2,69.5,77.1,69687.1,34843.5,139374.1,Emerging,69.3,69.14662350937024,0.15337649062975345,0.15337649062975345
Finance,Europe,2018,3956.8,14.1,11098.2,9.3,94.2,65.5,60.8,42754.5,21377.3,106886.3,Developed,73.5,73.22496059556293,0.27503940443706654,0.27503940443706654
Transportation,Asia,2025,1122.8,9.8,1879.8,14.8,21.7,30.3,69.6,705938.8,117656.5,2353129.3,Emerging,40.5,39.632866144420255,0.8671338555797448,0.8671338555797448
Retail,Asia,2022,691.9,-0.8,1738.4,-2.8,80.4,55.0,84.7,44092.5,22046.3,88185.0,Emerging,73.4,72.39776834733048,1.002231652669522,1.002231652669522
Healthcare,Oceania,2021,9455.2,14.6,34059.0,-2.0,59.9,30.2,78.0,738472.8,738472.8,1476945.5,Developed,56.0,56.11654422073475,-0.11654422073475246,0.11654422073475246
Healthcare,Europe,2020,9885.0,16.3,35163.6,3.7,72.4,69.8,83.0,685105.5,685105.5,1370211.0,Developed,75.1,75.23240663585233,-0.13240663585233392,0.13240663585233392
Utilities,North America,2015,279.1,13.7,517.7,,18.3,12.6,69.4,239354.6,149596.6,2393546.1,Developed,33.4,32.70378510383263,0.6962148961673691,0.6962148961673691
Manufacturing,Oceania,2022,2113.3,14.3,6230.3,12.0,55.8,40.2,66.5,513147.9,684197.2,8552465.6,Developed,54.2,54.20555097349409,-0.005550973494088396,0.005550973494088396
Finance,Middle East,2015,3032.4,17.7,7232.4,,96.1,39.5,91.3,31976.0,15988.0,79939.9,Emerging,75.6,74.79344572206382,0.8065542779361721,0.8065542779361721
Manufacturing,Asia,2023,2878.0,12.3,5353.5,0.7,32.1,47.6,73.4,842067.1,1122756.2,14034452.5,Emerging,51.0,50.29659211305993,0.7034078869400702,0.7034078869400702
Consumer Goods,Latin America,2018,787.1,6.6,786.9,24.2,64.1,88.1,18.8,118316.6,147895.8,591583.1,Emerging,57.0,57.70282732182398,-0.7028273218239818,0.7028273218239818
Retail,Africa,2016,1010.8,7.5,1069.2,-1.9,80.6,41.7,36.3,64287.5,32143.8,128575.0,Emerging,52.9,53.431174178336434,-0.5311741783364354,0.5311741783364354
Transportation,Middle East,2022,775.5,9.3,1111.5,11.1,64.0,40.2,4.5,349805.5,58300.9,1166018.3,Emerging,36.3,36.04074769783728,0.25925230216271444,0.25925230216271444
Finance,Middle East,2018,4614.7,17.7,13670.2,21.8,98.8,72.9,5.9,46952.4,23476.2,117381.1,Emerging,59.2,59.6421483947745,-0.44214839477449885,0.44214839477449885
Transportation,North America,2024,342.9,7.8,324.5,-2.3,29.6,80.1,81.9,204180.6,34030.1,680602.1,Developed,63.9,63.93167116730776,-0.031671167307763426,0.031671167307763426
Healthcare,Oceania,2017,1321.8,20.0,6339.2,9.8,95.1,26.3,65.8,70649.3,70649.3,141298.6,Developed,62.4,62.21252432533073,0.1874756746692654,0.1874756746692654
Healthcare,Middle East,2023,1359.2,4.1,785.0,-7.5,66.8,8.7,77.0,99549.5,99549.5,199098.9,Emerging,50.8,51.72170180583941,-0.9217018058394117,0.9217018058394117
Healthcare,Europe,2015,1216.8,23.1,5725.7,,74.3,82.3,51.7,82743.3,82743.3,165486.7,Developed,69.4,70.25500855045354,-0.8550085504535332,0.8550085504535332
Retail,Oceania,2024,468.5,7.0,664.4,14.3,45.0,44.3,57.1,41463.9,20731.9,82927.8,Developed,48.8,49.244464637800775,-0.4444646378007775,0.4444646378007775
Manufacturing,Middle East,2025,2136.6,7.3,2078.6,-23.9,47.5,29.6,30.9,556219.4,741625.9,9270323.6,Emerging,36.0,35.989713310102424,0.010286689897576196,0.010286689897576196
Energy,Middle East,2022,4488.7,43.9,37244.5,5.6,17.8,41.1,11.8,4828189.6,1448456.9,48281895.8,Emerging,23.5,24.27646918575184,-0.7764691857518393,0.7764691857518393
